,Taxonomy
ASV0001,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV1669,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Aeromonadaceae; Aeromonas
ASV1670,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Pajaroellobacter
ASV1671,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; TRA3_20; g
ASV1672,Bacteria; Myxococcota; Polyangia; Polyangiales; Sandaracinaceae; uncultured
ASV1673,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; HN_HF0106
ASV1674,Bacteria; Chloroflexi; Anaerolineae; Ardenticatenales; uncultured; g
ASV1675,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prolixibacteraceae; BSV13
ASV1676,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV1677,Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; g
ASV1679,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium
ASV1680,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; AKAU3564_sediment_group; g
ASV1681,Bacteria; Firmicutes; Dethiobacteria; Dethiobacterales; Dethiobacteraceae; uncultured
ASV1682,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; env_OPS_17; g
ASV1683,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV1684,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus
ASV1685,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Cohnella
ASV1686,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus
ASV1687,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Intrasporangiaceae; Oryzihumus
ASV1688,Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Lysinibacillus
ASV1689,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Koribacteraceae; Candidatus_Koribacter
ASV1690,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia
ASV1691,Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Nitrospira
ASV1692,Bacteria; Proteobacteria; Alphaproteobacteria; Parvibaculales; Parvibaculaceae; Parvibaculum
ASV1693,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhodomicrobiaceae; Rhodomicrobium
ASV1694,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Alkaliphilus; g
ASV1695,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV1696,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV1697,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Asticcacaulis
ASV1698,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1699,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pedomicrobium
ASV1700,Bacteria; Planctomycetota; vadinHA49; o; f; g
ASV1701,Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; g
ASV1702,Bacteria; Firmicutes; uncultured; o; f; g
ASV1703,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; uncultured
ASV1704,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Koribacteraceae; Candidatus_Koribacter
ASV1705,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Amb_16S_1323; g
ASV1706,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter
ASV1707,Bacteria; Acidobacteriota; Acidobacteriae; AKIW659; f; g
ASV1708,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Koribacteraceae; Candidatus_Koribacter
ASV1709,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV1710,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV1711,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV1712,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV1713,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1714,Bacteria; Firmicutes; Thermoanaerobacteria; Thermoanaerobacterales; SRB2; g
ASV1715,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1717,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; ADurb_Bin063_1
ASV1718,Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella
ASV1719,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_8
ASV1720,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium
ASV1721,Bacteria; Firmicutes; D8A_2; o; f; g
ASV1722,Bacteria; Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
ASV1723,Bacteria; Planctomycetota; Planctomycetes; Pirellulales; Pirellulaceae; uncultured
ASV1724,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV1725,Bacteria; Firmicutes; D8A_2; o; f; g
ASV1726,Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylomonadaceae; Methylobacter
ASV1727,Bacteria; Chloroflexi; Gitt_GS_136; o; f; g
ASV1728,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
ASV1729,Bacteria; Proteobacteria; Gammaproteobacteria; Piscirickettsiales; Piscirickettsiaceae; Candidatus_Endoecteinascidia
ASV1730,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV1731,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV1732,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV1733,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV1734,Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Nitrospira
ASV1735,Bacteria; Firmicutes; Clostridia; Thermincolales; Thermincolaceae; Thermincola
ASV1737,Bacteria; Firmicutes; Bacilli; Izemoplasmatales; f; g
ASV1738,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
ASV1739,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV1740,Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia
ASV1742,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Methylacidiphilales; Methylacidiphilaceae; uncultured
ASV1743,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV1744,Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia
ASV1745,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV1746,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV1747,Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; uncultured
ASV1748,Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30_KF_CM45; g
ASV1749,Bacteria; Proteobacteria; Gammaproteobacteria; Ga0077536; f; g
ASV1750,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Alkaliphilus; g
ASV1751,Bacteria; WS1; c; o; f; g
ASV1752,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Longilinea
ASV1753,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Pelotomaculaceae; Cryptanaerobacter
ASV1754,Bacteria; Acidobacteriota; Subgroup_21; o; f; g
ASV1755,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Arthrobacter
ASV1756,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga
ASV1757,Bacteria; Planctomycetota; Pla4_lineage; o; f; g
ASV1758,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; uncultured
ASV1759,Bacteria; Acidobacteriota; Subgroup_21; o; f; g
ASV1760,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV1761,Bacteria; Proteobacteria; Gammaproteobacteria; Diplorickettsiales; Diplorickettsiaceae; uncultured
ASV1762,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Pajaroellobacter
ASV1763,Bacteria; Firmicutes; Negativicutes; Veillonellales_Selenomonadales; Sporomusaceae; uncultured
ASV1764,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; uncultured
ASV1765,Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; f; g
ASV1766,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Devosia
ASV1767,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Simkaniaceae; uncultured
ASV1768,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1769,Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; g
ASV1770,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Pleomorphomonadaceae; Chthonobacter
ASV1771,Bacteria; Proteobacteria; Gammaproteobacteria; Piscirickettsiales; Piscirickettsiaceae; Candidatus_Endoecteinascidia
ASV1772,Bacteria; Firmicutes; Bacilli; Haloplasmatales; Haloplasmataceae; Haloplasma
ASV1773,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV1774,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; KD3_93; g
ASV1775,Bacteria; Proteobacteria; Gammaproteobacteria; Beggiatoales; Beggiatoaceae; uncultured
ASV1776,Bacteria; Acidobacteriota; Subgroup_25; o; f; g
ASV1777,Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter
ASV1778,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; KF_JG30_B3; g
ASV1779,Bacteria; Planctomycetota; Pla4_lineage; o; f; g
ASV1780,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV1781,Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia
ASV1782,Bacteria; Proteobacteria; Gammaproteobacteria; Acidiferrobacterales; Acidiferrobacteraceae; Sulfurifustis
ASV1783,Bacteria; Actinobacteriota; Coriobacteriia; OPB41; f; g
ASV1784,Bacteria; Firmicutes; Clostridia; Clostridiales; Caloramatoraceae; Fonticella
ASV1785,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV1786,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; Candidatus_Udaeobacter
ASV1787,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Bosea
ASV1788,Bacteria; Armatimonadota; uncultured; o; f; g
ASV1789,Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; Sporobacter
ASV1790,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Xiphinematobacteraceae; Candidatus_Xiphinematobacter
ASV1791,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV1792,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV1793,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Lutispora; g
ASV1794,Bacteria; Firmicutes; Bacilli; Bacillales; Salisediminibacteriaceae; Salipaludibacillus
ASV1795,Bacteria; Desulfobacterota; uncultured; o; f; g
ASV1796,Bacteria; Acidobacteriota; Acidobacteriae; Paludibaculum; f; g
ASV1797,Bacteria; Chloroflexi; Anaerolineae; Caldilineales; Caldilineaceae; uncultured
ASV1798,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Polyangium
ASV1799,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia
ASV1800,Bacteria; Firmicutes; Clostridia; Peptococcales; Peptococcaceae; uncultured
ASV1801,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV1802,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium
ASV1803,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; uncultured
ASV1804,Bacteria; Firmicutes; Limnochordia; MBA03; f; g
ASV1805,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Mesorhizobium
ASV1806,Bacteria; Bdellovibrionota; Bdellovibrionia; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio
ASV1807,Bacteria; Firmicutes; Clostridia; Oscillospirales; UCG_010; g
ASV1808,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Simkaniaceae; uncultured
ASV1810,Archaea; Halobacterota; Methanomicrobia; Methanomicrobiales; Methanospirillaceae; Methanospirillum
ASV1811,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium
ASV1812,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1813,Bacteria; Planctomycetota; Phycisphaerae; MSBL9; SG8_4; g
ASV1814,Bacteria; Firmicutes; Clostridia; Monoglobales; Monoglobaceae; Monoglobus
ASV1816,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1817,Bacteria; Firmicutes; Negativicutes; Veillonellales_Selenomonadales; Sporomusaceae; uncultured
ASV1818,Bacteria; Acidobacteriota; Vicinamibacteria; Subgroup_17; f; g
ASV1819,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pedomicrobium
ASV1820,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; uncultured
ASV1821,Bacteria; Firmicutes; Bacilli; Izemoplasmatales; f; g
ASV1822,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV1823,Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; uncultured
ASV1824,Bacteria; WS2; c; o; f; g
ASV1825,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67_14; g
ASV1826,Bacteria; Firmicutes; Thermoanaerobacteria; Thermoanaerobacterales; SRB2; g
ASV1827,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV1828,Bacteria; Armatimonadota; uncultured; o; f; g
ASV1829,Bacteria; Actinobacteriota; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
ASV1830,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus
ASV1831,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV1832,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1833,Bacteria; Firmicutes; Limnochordia; MBA03; f; g
ASV1834,Bacteria; Myxococcota; bacteriap25; o; f; g
ASV1835,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; Vicinamibacteraceae; g
ASV1836,Bacteria; Proteobacteria; Alphaproteobacteria; uncultured; f; g
ASV1837,Bacteria; Abditibacteriota; Abditibacteria; Abditibacteriales; Abditibacteriaceae; Abditibacterium
ASV1838,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia
ASV1839,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV1840,Bacteria; Chloroflexi; Anaerolineae; Caldilineales; Caldilineaceae; uncultured
ASV1842,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; SB_5; g
ASV1843,Bacteria; Armatimonadota; uncultured; o; f; g
ASV1844,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Parachlamydiaceae; Neochlamydia
ASV1845,Bacteria; Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae; SEEP_SRB1
ASV1846,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfohalotomaculum
ASV1847,Bacteria; Firmicutes; Bacilli; Thermoactinomycetales; Thermoactinomycetaceae; Pasteuria
ASV1848,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; ADurb_Bin063_1
ASV1849,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV1850,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prolixibacteraceae; BSV13
ASV1851,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV1852,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Xiphinematobacteraceae; Candidatus_Xiphinematobacter
ASV1853,Bacteria; Firmicutes; Limnochordia; M55_D21; f; g
ASV1854,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus
ASV1855,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Edaphobaculum
ASV1856,Bacteria; Actinobacteriota; Acidimicrobiia; Actinomarinales; uncultured; g
ASV1857,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV1858,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67_14; g
ASV1859,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Alcaligenaceae; Verticiella
ASV1860,Bacteria; Firmicutes; Incertae_Sedis; DTU014; f; g
ASV1861,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Pelotomaculaceae; Pelotomaculum
ASV1862,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
ASV1863,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV1864,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV1865,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1866,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Amesbacteria; f; g
ASV1867,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV1868,Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Kineosporia
ASV1869,Archaea; Crenarchaeota; Bathyarchaeia; o; f; g
ASV1870,Bacteria; Firmicutes; Thermoanaerobacteria; Thermoanaerobacterales; SRB2; g
ASV1871,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculales_Incertae_Sedis; Desulfallas_Sporotomaculum
ASV1872,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV1873,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Amesbacteria; f; g
ASV1874,Bacteria; Hydrogenedentes; Hydrogenedentia; Hydrogenedentiales; Hydrogenedensaceae; g
ASV1875,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Terrimonas
ASV1876,Bacteria; SAR324_clade_Marine_group_B_; c; o; f; g
ASV1877,Bacteria; Chloroflexi; KD4_96; o; f; g
ASV1878,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus
ASV1879,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Parachlamydiaceae; Neochlamydia
ASV1880,Bacteria; Armatimonadota; uncultured; o; f; g
ASV1881,Bacteria; Chloroflexi; Anaerolineae; Caldilineales; Caldilineaceae; uncultured
ASV1882,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV1883,Bacteria; Firmicutes; Bacilli; Bacillales; Salisediminibacteriaceae; Salipaludibacillus
ASV1884,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; Syntrophomonas
ASV1885,Bacteria; Firmicutes; Limnochordia; M55_D21; f; g
ASV1886,Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
ASV1887,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Bogoriellaceae; Georgenia
ASV1888,Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; JGI_0001001_H03
ASV1889,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV1890,Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30_KF_CM45; g
ASV1891,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
ASV1892,Bacteria; Dependentiae; Babeliae; Babeliales; f; g
ASV1893,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV1894,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV1895,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1896,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV1897,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV1899,Bacteria; Desulfobacterota; Desulfuromonadia; Geobacterales; Geobacteraceae; uncultured
ASV1900,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV1901,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV1902,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1903,Bacteria; Firmicutes; Clostridia; Oscillospirales; UCG_010; g
ASV1904,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV1905,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; uncultured
ASV1906,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV1907,Bacteria; Desulfobacterota; Desulfuromonadia; Geobacterales; Geobacteraceae; g
ASV1908,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1909,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV1910,Bacteria; Chloroflexi; Anaerolineae; Caldilineales; Caldilineaceae; uncultured
ASV1911,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV1912,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV1913,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium
ASV1914,Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylomonadaceae; Crenothrix
ASV1915,Archaea; Crenarchaeota; Bathyarchaeia; o; f; g
ASV1916,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV1917,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV1918,Bacteria; Latescibacterota; c; o; f; g
ASV1919,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; uncultured
ASV1921,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV1923,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; HN_HF0106
ASV1924,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; AKYH767; g
ASV1925,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1926,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Magnetospirillaceae; Magnetospirillum
ASV1927,Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia
ASV1928,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; uncultured
ASV1929,Bacteria; Firmicutes; Incertae_Sedis; DTU014; f; g
ASV1930,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV1931,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; uncultured
ASV1932,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Mobilitalea
ASV1933,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV1934,Bacteria; Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
ASV1935,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV1936,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV1937,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV1938,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus
ASV1939,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV1940,Bacteria; SAR324_clade_Marine_group_B_; c; o; f; g
ASV1941,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV1942,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax
ASV1943,Bacteria; Hydrogenedentes; Hydrogenedentia; Hydrogenedentiales; Hydrogenedensaceae; g
ASV1944,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1
ASV1945,Bacteria; Actinobacteriota; Acidimicrobiia; IMCC26256; f; g
ASV1946,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV1947,Bacteria; Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Nostocaceae; Nostoc_PCC_73102
ASV1948,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Anaerobacterium
ASV1949,Bacteria; Armatimonadota; Chthonomonadetes; Chthonomonadales; f; g
ASV1950,Bacteria; Myxococcota; Myxococcia; Myxococcales; Vulgatibacteraceae; Vulgatibacter
ASV1951,Bacteria; Chloroflexi; Anaerolineae; Caldilineales; Caldilineaceae; uncultured
ASV1953,Archaea; Halobacterota; Methanosarcinia; Methanosarciniales; Methanosarcinaceae; Methanosarcina
ASV1954,Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Nitrospira
